date,temps jour,temps semaine,week_number,matieres
2024-04-01,28.25,140.75,14,"['C20531', 'C3900702', 'C27350', 'C21005', 'C28500', 'C28000', 'C21460', 'C20500', 'C3900503', 'C27300', 'C27850', 'C21016', 'C29998', 'C3902569', 'C3900219', 'C20300', 'C28350', 'C3900504', 'C23150', 'C3902403', 'C23551', 'C21580', 'C22905', 'C3902267', 'C25300', 'C23350', 'C27046', 'C25630', 'C21535', 'C3901799', 'C24250', 'C23330', 'C21700', 'C24267', 'C23050', 'C3901221', 'C27020', 'C23305', 'C21990', 'C22980', 'C3900799', 'C3900713', 'C25000', 'C3901891', 'C27050', 'C21525', 'C23550', 'C21165', 'C25450']"
2024-04-02,28.25,140.75,14,"['C24250', 'C3902403', 'C3901221', 'C3900799', 'C23550', 'C3902569', 'C22265', 'C22980', 'C28500', 'C23350', 'C28350', 'C25630', 'C27300', 'C3900504', 'C3900503', 'C21535', 'C25300', 'C29998', 'C21700', 'C23150', 'C28000', 'C25410', 'C23551', 'C21525', 'C25000', 'C3901891', 'C3900713', 'C23300', 'C23305', 'C21990', 'C27020', 'C3900702', 'C3900219', 'C3901799', 'C21991', 'C27350', 'C22091', 'C27076', 'C22905', 'C21580', 'C24267', 'C25231', 'C23330', 'C3902267', 'C27046', 'C23200', 'C23400', 'C27302', 'C25850', 'C26300']"
2024-04-03,28.25,140.75,14,"['C23680', 'C27350', 'C3900702', 'C20531', 'C3902267', 'C24250', 'C25000', 'C25002', 'C21990', 'C27050', 'C28100', 'C22000', 'C20543', 'C21700', 'C24267', 'C21016', 'C21670', 'C28350', 'C3900504', 'C25300', 'C24251', 'C3900799', 'C23650', 'C28500', 'C23551', 'C21535', 'C29012', 'C22903', 'C3902569', 'C23330', 'C29998', 'C3900715', 'C23050', 'C21526', 'C20300', 'C23325', 'C3900713', 'C3900219', 'C23305', 'C21525', 'C23150', 'C25630', 'C22920', 'C23550', 'C3900503', 'C22980', 'C25585']"
2024-04-04,28.0,140.75,14,"['C23300', 'C22785', 'C23150', 'C21990', 'C20700', 'C22980', 'C23550', 'C28350', 'C22095', 'C20543', 'C20300', 'C24267', 'C28520', 'C24250', 'C28530', 'C22260', 'C23050', 'C25000', 'C27050', 'C27076', 'C27300', 'C27350', 'C21700', 'C25230', 'C27046', 'C25410', 'C21020', 'C27020', 'C21526', 'C21580', 'C21535', 'C25630', 'C28000', 'C25300', 'C21055', 'C20760', 'C25450', 'C28100', 'C24840', 'C27850', 'C25850', 'C21460']"
2024-04-05,28.0,140.75,14,"['C25300', 'C26350', 'C21700', 'C22780', 'C3900715', 'C24267', 'C25230', 'C25630', 'C27300', 'C21670', 'C27200', 'C22260', 'C24251', 'C21535', 'C29998', 'C27020', 'C27350', 'C28350', 'C26300', 'C24250', 'C20500', 'C22920', 'C28240', 'C27050', 'C25000', 'C23150', 'C25002', 'C25020', 'C21520', 'C21005', 'C21990', 'C23550', 'C27302', 'C23050', 'C22095', 'C21580']"
2024-04-08,28.25,116.5,15,"['C23550', 'C27300', 'C20500', 'C3900702', 'C27020', 'C3902019', 'C27050', 'C3900487', 'C23150', 'C3902403', 'C27046', 'C23300', 'C3900493', 'C3900221', 'C23050', 'C22980', 'C27068', 'C3901799', 'C21460', 'C3900713', 'C20300', 'C27076', 'C3902569', 'C23330', 'C21535', 'C23350', 'C23305', 'C25630', 'C28000', 'C20543', 'C3900799', 'C24250', 'C22260', 'C27850', 'C21990', 'C22095', 'C27350', 'C28485', 'C3901128', 'C21005', 'C21700', 'C28350', 'C25300', 'C3900504', 'C21020', 'C3902520', 'C25230', 'C25410']"
2024-04-09,22.25,116.5,15,"['C3900713', 'C23325', 'C27045', 'C3900221', 'C28000', 'C3900487', 'C25005', 'C3900799', 'C21525', 'C3902403', 'C23200', 'C21990', 'C21005', 'C3900493', 'C3901128', 'C23155', 'C21165', 'C23400', 'C20500', 'C23650', 'C22980', 'C21580', 'C22350', 'C28485', 'C20536', 'C3900702', 'C23680', 'C23350', 'C25585', 'C20300', 'C25300', 'C23550', 'C25450', 'C24250', 'C23330', 'C27350']"
2024-04-10,22.0,116.5,15,"['C3901799', 'C23305', 'C3900504', 'C27068', 'C21465', 'C25000', 'C23150', 'C21700', 'C27046', 'C23050', 'C3902520', 'C24267', 'C25630', 'C3902019', 'C20543', 'C25305', 'C26300', 'C27300', 'C24100', 'C27350', 'C28500', 'C27020', 'C3902569', 'C21020', 'C28350', 'C29012', 'C27355', 'C21350', 'C21535', 'C3900487', 'C28485', 'C20300', 'C25300']"
2024-04-11,22.25,116.5,15,"['C3900799', 'C3901128', 'C3902019', 'C3902569', 'C3902520', 'C3900493', 'C3900504', 'C3901799', 'C3902403', 'C3900713', 'C3900702', 'C20100', 'C25080', 'C27050', 'C23550', 'C28500', 'C27068', 'C21460', 'C21016', 'C27046', 'C20543', 'C23350', 'C23330', 'C20500', 'C23305', 'C23050', 'C24180', 'C23150', 'C3900221', 'C21020', 'C27850', 'C20300', 'C21005', 'C25300', 'C21580', 'C25630', 'C28200', 'C27355']"
2024-04-12,21.75,116.5,15,"['C21420', 'C24250', 'C23150', 'C21580', 'C24267', 'C21535', 'C24950', 'C25000', 'C27020', 'C21700', 'C26490', 'C25630', 'C21990', 'C22980', 'C25300', 'C27300', 'C28000', 'C27350', 'C22780', 'C20543', 'C28200', 'C28350', 'C23550', 'C21020', 'C28485', 'C27068', 'C3900713', 'C20500', 'C3900487']"
2024-04-15,21.75,92.5,16,"['C20543', 'C23050', 'C3901799', 'C21580', 'C3900713', 'C23305', 'C25000', 'C27020', 'C20300', 'C21700', 'C22980', 'C28000', 'C3902019', 'C25630', 'C3900221', 'C23330', 'C21990', 'C20100', 'C25300', 'C3902569', 'C3900487', 'C25080', 'C3900493', 'C23350', 'C23150', 'C27046', 'C3900799', 'C28350', 'C24250', 'C3900702', 'C24267', 'C23550', 'C3902520', 'C3902403', 'C27300', 'C3901128', 'C28500', 'C3900504', 'C23552']"
2024-04-16,22.25,92.5,16,"['C3900799', 'C3902019', 'C23550', 'C23150', 'C24267', 'C23330', 'C23050', 'C3901128', 'C25000', 'C23305', 'C3901799', 'C23350', 'C24250', 'C22980', 'C3900487', 'C25300', 'C28485', 'C3902520', 'C3900504', 'C21005', 'C28000', 'C27850', 'C21020', 'C27350', 'C3902569', 'C27300', 'C3900702', 'C28500', 'C3902403', 'C21460', 'C27050', 'C27068', 'C28350', 'C21535', 'C20543', 'C3900221', 'C21700']"
2024-04-17,22.0,92.5,16,"['C3902520', 'C20536', 'C20543', 'C20300', 'C3901799', 'C21420', 'C23150', 'C21022', 'C23052', 'C3902403', 'C21535', 'C21580', 'C22980', 'C21700', 'C3902019', 'C21990', 'C22780', 'C23155', 'C23305', 'C24250', 'C3902569', 'C28500', 'C25630', 'C26490', 'C28485', 'C27020', 'C3900713', 'C27045', 'C25000', 'C24950', 'C24267', 'C3900221', 'C23350']"
2024-04-18,13.5,92.5,16,"['C25300', 'C20700', 'C21525', 'C27300', 'C27020', 'C25020', 'C28520', 'C23300', 'C23150', 'C25000', 'C28530', 'C20300', 'C27350', 'C22785', 'C3901071', 'C29998', 'C28505']"
2024-04-19,13.0,92.5,16,"['C23335', 'C23350', 'C3901799', 'C3900376', 'C3902403', 'C3900702', 'C28100', 'C3900219', 'C21525', 'C21700', 'C21180', 'C3901221', 'C3902150', 'C23305', 'C25000', 'C3900715', 'C3901231']"
2024-04-22,13.25,17.25,17,"['C28100', 'C3900219', 'C20543', 'C28505', 'C29998', 'C3900376', 'C23305', 'C27020', 'C3901071', 'C25000', 'C3901231', 'C3902150', 'C25300', 'C27350', 'C21700', 'C3900715', 'C3901221', 'C23150', 'C27050', 'C3901799', 'C23335', 'C21526', 'C21525', 'C3900702', 'C3902403', 'C23350']"
2024-04-23,4.0,17.25,17,"['C27350', 'C25300', 'C25000', 'C20543', 'C27050', 'C21526', 'C23150', 'C27020']"
2024-04-24,0.0,17.25,17,[]
